Date,Close,High,Low,Open,Volume,ticker
2026-04-27,73.0,75.0,70.0,71.0,416638700,WMUU.JK
2026-04-28,73.0,75.0,70.0,74.0,335476900,WMUU.JK
2026-04-29,71.0,74.0,70.0,72.0,187325300,WMUU.JK
2026-04-30,70.0,72.0,67.0,71.0,251204300,WMUU.JK
2026-05-04,70.0,73.0,69.0,71.0,144088800,WMUU.JK
2026-05-05,72.0,72.0,67.0,70.0,197576200,WMUU.JK
2026-05-06,73.0,78.0,71.0,72.0,674254500,WMUU.JK
2026-05-07,73.0,76.0,72.0,74.0,207038500,WMUU.JK
2026-05-08,69.0,73.0,67.0,72.0,287933700,WMUU.JK
2026-05-11,68.0,69.0,67.0,69.0,208425200,WMUU.JK
2026-05-12,63.0,68.0,63.0,68.0,218524200,WMUU.JK
2026-05-13,67.0,71.0,63.0,63.0,364433900,WMUU.JK
2026-05-14,67.0,67.0,67.0,67.0,0,WMUU.JK
2026-05-15,67.0,67.0,67.0,67.0,0,WMUU.JK
2026-05-18,64.0,68.0,61.0,67.0,220411100,WMUU.JK
2026-05-19,60.0,66.0,59.0,64.0,219083700,WMUU.JK
2026-05-20,59.0,62.0,58.0,60.0,178390100,WMUU.JK
2026-05-21,53.0,62.0,52.0,59.0,320713300,WMUU.JK
2026-05-22,58.0,59.0,52.0,53.0,219586500,WMUU.JK
2026-05-25,57.0,62.0,57.0,59.0,236126300,WMUU.JK
2026-05-26,57.0,59.0,56.0,58.0,100461200,WMUU.JK
2026-05-27,57.0,57.0,57.0,57.0,0,WMUU.JK
2026-05-28,57.0,57.0,57.0,57.0,0,WMUU.JK
2026-05-29,55.0,58.0,54.0,57.0,139647400,WMUU.JK
2026-06-02,53.0,58.0,52.0,55.0,212432200,WMUU.JK
2026-06-03,50.0,53.0,50.0,53.0,272060300,WMUU.JK
2026-06-04,50.0,52.0,50.0,50.0,167086800,WMUU.JK
2026-06-05,50.0,51.0,50.0,50.0,29005000,WMUU.JK
2026-06-08,50.0,50.0,50.0,50.0,4467800,WMUU.JK
2026-06-09,51.0,53.0,50.0,50.0,309688400,WMUU.JK
2026-06-10,50.0,51.0,50.0,51.0,111637600,WMUU.JK
2026-06-11,50.0,51.0,50.0,50.0,22645700,WMUU.JK
2026-06-12,52.0,57.0,50.0,50.0,398206900,WMUU.JK
2026-06-15,53.0,56.0,52.0,52.0,201078900,WMUU.JK
2026-06-17,51.0,54.0,50.0,54.0,105746100,WMUU.JK
2026-06-18,50.0,51.0,50.0,51.0,90908800,WMUU.JK
2026-06-19,50.0,51.0,50.0,50.0,38375800,WMUU.JK
2026-06-22,50.0,51.0,50.0,50.0,34996200,WMUU.JK
2026-06-23,50.0,50.0,50.0,50.0,2323900,WMUU.JK
2026-06-24,50.0,50.0,50.0,50.0,6373500,WMUU.JK
2026-06-25,50.0,50.0,50.0,50.0,1375900,WMUU.JK
2026-06-26,50.0,50.0,50.0,50.0,1665100,WMUU.JK
2026-06-29,50.0,50.0,50.0,50.0,1452600,WMUU.JK
2026-06-30,50.0,50.0,50.0,50.0,273300,WMUU.JK
2026-07-01,50.0,50.0,50.0,50.0,7202000,WMUU.JK
2026-07-02,50.0,50.0,50.0,50.0,13584300,WMUU.JK
2026-07-03,50.0,50.0,50.0,50.0,4853900,WMUU.JK
2026-07-06,50.0,50.0,50.0,50.0,4903700,WMUU.JK
2026-07-07,50.0,50.0,50.0,50.0,3637400,WMUU.JK
2026-07-08,50.0,50.0,50.0,50.0,1044000,WMUU.JK
2026-07-09,50.0,50.0,50.0,50.0,437200,WMUU.JK
2026-07-10,50.0,50.0,50.0,50.0,368800,WMUU.JK
2026-07-13,50.0,50.0,50.0,50.0,550100,WMUU.JK
2026-07-14,50.0,50.0,50.0,50.0,1570300,WMUU.JK
2026-07-15,50.0,50.0,50.0,50.0,455000,WMUU.JK
2026-07-16,50.0,50.0,50.0,50.0,394200,WMUU.JK
2026-07-17,50.0,50.0,50.0,50.0,243400,WMUU.JK
2026-07-20,50.0,50.0,50.0,50.0,6934500,WMUU.JK
2026-07-21,50.0,50.0,50.0,50.0,7794300,WMUU.JK
2026-07-22,60.0,64.0,50.0,50.0,2572876600,WMUU.JK
2026-07-23,55.0,63.0,53.0,61.0,820843300,WMUU.JK
2026-07-24,52.0,56.0,51.0,55.0,204714800,WMUU.JK
2026-07-27,52.0,55.0,51.0,52.0,125779700,WMUU.JK
2026-07-28,52.0,54.0,51.0,53.0,114755300,WMUU.JK
2026-07-29,52.0,52.0,50.0,52.0,116254600,WMUU.JK
2026-07-30,52.0,56.0,51.0,52.0,365787200,WMUU.JK
2026-07-31,53.0,54.0,52.0,53.0,98766400,WMUU.JK
2026-08-03,53.0,55.0,52.0,53.0,167314200,WMUU.JK
2026-08-04,54.0,57.0,53.0,53.0,208697000,WMUU.JK
2026-08-05,54.0,55.0,53.0,55.0,104749200,WMUU.JK
2026-08-06,53.0,55.0,52.0,54.0,128608000,WMUU.JK
2026-08-07,57.0,62.0,54.0,54.0,995254100,WMUU.JK
2026-08-10,59.0,63.0,58.0,58.0,818925800,WMUU.JK
2026-08-11,55.0,60.0,54.0,59.0,238455000,WMUU.JK
2026-08-12,55.0,57.0,55.0,55.0,93137500,WMUU.JK
2026-08-13,54.0,58.0,53.0,56.0,253817100,WMUU.JK
2026-08-14,55.0,56.0,54.0,54.0,96772300,WMUU.JK
2026-08-18,54.0,56.0,53.0,55.0,155202100,WMUU.JK
2026-08-19,54.0,55.0,53.0,54.0,60747900,WMUU.JK
2026-08-20,53.0,54.0,53.0,54.0,85832500,WMUU.JK
2026-08-21,50.0,54.0,50.0,53.0,357801100,WMUU.JK
2026-08-24,,,,,17735100,WMUU.JK
