Date,Close,High,Low,Open,Volume,ticker
2026-04-27,1290.0,1315.0,1285.0,1310.0,2130500,ARTO.JK
2026-04-28,1320.0,1325.0,1285.0,1295.0,6155900,ARTO.JK
2026-04-29,1425.0,1465.0,1315.0,1325.0,29494700,ARTO.JK
2026-04-30,1305.0,1430.0,1290.0,1425.0,13882700,ARTO.JK
2026-05-04,1250.0,1310.0,1225.0,1310.0,9927700,ARTO.JK
2026-05-05,1245.0,1275.0,1235.0,1255.0,4238700,ARTO.JK
2026-05-06,1235.0,1265.0,1230.0,1250.0,4537600,ARTO.JK
2026-05-07,1270.0,1280.0,1235.0,1240.0,7057900,ARTO.JK
2026-05-08,1245.0,1290.0,1235.0,1285.0,5428900,ARTO.JK
2026-05-11,1215.0,1250.0,1215.0,1245.0,3901600,ARTO.JK
2026-05-12,1220.0,1240.0,1205.0,1220.0,2902500,ARTO.JK
2026-05-13,1210.0,1220.0,1205.0,1215.0,2034600,ARTO.JK
2026-05-14,1210.0,1210.0,1210.0,1210.0,0,ARTO.JK
2026-05-15,1210.0,1210.0,1210.0,1210.0,0,ARTO.JK
2026-05-18,1170.0,1205.0,1130.0,1200.0,3428600,ARTO.JK
2026-05-19,1135.0,1215.0,1135.0,1170.0,3904900,ARTO.JK
2026-05-20,1145.0,1145.0,1080.0,1130.0,4536200,ARTO.JK
2026-05-21,1115.0,1180.0,1100.0,1145.0,4528000,ARTO.JK
2026-05-22,1130.0,1130.0,1090.0,1090.0,1545500,ARTO.JK
2026-05-25,1150.0,1160.0,1130.0,1150.0,1924900,ARTO.JK
2026-05-26,1145.0,1160.0,1125.0,1150.0,1222100,ARTO.JK
2026-05-27,1145.0,1145.0,1145.0,1145.0,0,ARTO.JK
2026-05-28,1145.0,1145.0,1145.0,1145.0,0,ARTO.JK
2026-05-29,1180.0,1180.0,1100.0,1120.0,9262000,ARTO.JK
2026-06-02,1160.0,1180.0,1145.0,1180.0,1928700,ARTO.JK
2026-06-03,1090.0,1185.0,1075.0,1165.0,3529700,ARTO.JK
2026-06-04,1035.0,1095.0,995.0,1090.0,4402300,ARTO.JK
2026-06-05,930.0,1020.0,930.0,1020.0,4200200,ARTO.JK
2026-06-08,805.0,930.0,805.0,930.0,11607800,ARTO.JK
2026-06-09,940.0,940.0,740.0,740.0,12064100,ARTO.JK
2026-06-10,970.0,1010.0,950.0,990.0,11406800,ARTO.JK
2026-06-11,970.0,1035.0,940.0,970.0,7660300,ARTO.JK
2026-06-12,1010.0,1020.0,970.0,970.0,5680900,ARTO.JK
2026-06-15,1025.0,1080.0,1020.0,1025.0,4800900,ARTO.JK
2026-06-17,1000.0,1035.0,985.0,1030.0,5211600,ARTO.JK
2026-06-18,995.0,1025.0,975.0,1025.0,1140500,ARTO.JK
2026-06-19,970.0,1020.0,970.0,1000.0,20410100,ARTO.JK
2026-06-22,935.0,990.0,920.0,975.0,4768500,ARTO.JK
2026-06-23,930.0,935.0,895.0,935.0,10814500,ARTO.JK
2026-06-24,870.0,960.0,870.0,950.0,7434200,ARTO.JK
2026-06-25,920.0,945.0,880.0,880.0,6946300,ARTO.JK
2026-06-26,905.0,930.0,900.0,905.0,4967700,ARTO.JK
2026-06-29,905.0,940.0,890.0,905.0,2726000,ARTO.JK
2026-06-30,965.0,965.0,860.0,905.0,8220600,ARTO.JK
2026-07-01,925.0,965.0,920.0,960.0,2105000,ARTO.JK
2026-07-02,940.0,950.0,925.0,930.0,2260300,ARTO.JK
2026-07-03,920.0,980.0,915.0,940.0,3723500,ARTO.JK
2026-07-06,950.0,950.0,905.0,920.0,4518000,ARTO.JK
2026-07-07,1040.0,1045.0,950.0,950.0,11693300,ARTO.JK
2026-07-08,1015.0,1045.0,1005.0,1040.0,4941400,ARTO.JK
2026-07-09,1200.0,1265.0,970.0,1015.0,28688400,ARTO.JK
2026-07-10,1135.0,1220.0,1115.0,1210.0,12383000,ARTO.JK
2026-07-13,1200.0,1200.0,1095.0,1125.0,12819200,ARTO.JK
2026-07-14,1160.0,1205.0,1140.0,1200.0,7870500,ARTO.JK
2026-07-15,1250.0,1310.0,1160.0,1160.0,23580700,ARTO.JK
2026-07-16,1320.0,1330.0,1245.0,1250.0,28500200,ARTO.JK
2026-07-17,1405.0,1435.0,1320.0,1325.0,24898100,ARTO.JK
2026-07-20,1395.0,1435.0,1365.0,1405.0,14094900,ARTO.JK
2026-07-21,1380.0,1395.0,1310.0,1390.0,21632400,ARTO.JK
2026-07-22,1330.0,1385.0,1325.0,1380.0,7779600,ARTO.JK
2026-07-23,1340.0,1360.0,1300.0,1340.0,10019100,ARTO.JK
2026-07-24,1250.0,1330.0,1235.0,1330.0,8174300,ARTO.JK
2026-07-27,1200.0,1250.0,1185.0,1240.0,6346100,ARTO.JK
