Date,Close,High,Low,Open,Volume,ticker
2026-04-27,1290.0,1315.0,1285.0,1310.0,2130500,ARTO.JK
2026-04-28,1320.0,1325.0,1285.0,1295.0,6155900,ARTO.JK
2026-04-29,1425.0,1465.0,1315.0,1325.0,29494700,ARTO.JK
2026-04-30,1305.0,1430.0,1290.0,1425.0,13882700,ARTO.JK
2026-05-04,1250.0,1310.0,1225.0,1310.0,9927700,ARTO.JK
2026-05-05,1245.0,1275.0,1235.0,1255.0,4238700,ARTO.JK
2026-05-06,1235.0,1265.0,1230.0,1250.0,4537600,ARTO.JK
2026-05-07,1270.0,1280.0,1235.0,1240.0,7057900,ARTO.JK
2026-05-08,1245.0,1290.0,1235.0,1285.0,5428900,ARTO.JK
2026-05-11,1215.0,1250.0,1215.0,1245.0,3901600,ARTO.JK
2026-05-12,1220.0,1240.0,1205.0,1220.0,2902500,ARTO.JK
2026-05-13,1210.0,1220.0,1205.0,1215.0,2034600,ARTO.JK
2026-05-14,1210.0,1210.0,1210.0,1210.0,0,ARTO.JK
2026-05-15,1210.0,1210.0,1210.0,1210.0,0,ARTO.JK
2026-05-18,1170.0,1205.0,1130.0,1200.0,3428600,ARTO.JK
2026-05-19,1135.0,1215.0,1135.0,1170.0,3904900,ARTO.JK
2026-05-20,1145.0,1145.0,1080.0,1130.0,4536200,ARTO.JK
2026-05-21,1115.0,1180.0,1100.0,1145.0,4528000,ARTO.JK
2026-05-22,1130.0,1130.0,1090.0,1090.0,1545500,ARTO.JK
2026-05-25,1150.0,1160.0,1130.0,1150.0,1924900,ARTO.JK
2026-05-26,1145.0,1160.0,1125.0,1150.0,1222100,ARTO.JK
